name	is_seed	spd	component_id
Q9Y221	0	0.9375	0
Q13247	0	0.9506172839506173	0
Q8TDN6	0	0.940677966101695	0
Q13823	0	0.971830985915493	0
P83731	0	0.9116022099447514	0
Q9NZM5	0	0.8738738738738738	0
Q9ULW3	0	0.9230769230769231	0
Q9NW13	0	0.9506172839506173	0
P62753	0	0.9364406779661016	0
Q02539	0	0.819672131147541	0
Q9GZQ8	0	0.844559585492228	0
Q9UJV9	0	0.9476744186046512	0
Q9HCE7	0	0.8567901234567902	0
Q9H0R8	0	0.835820895522388	0
Q9Y297	0	0.7909319899244333	0
Q9NZ43	0	0.8888888888888888	0
Q9UBU9	0	0.7098765432098766	0
Q9C0B0	0	0.8061224489795918	0
Q9NRR4	0	0.8909090909090909	0
Q9Y2R9	0	0.7804878048780488	0
Q9H3D4	0	0.8642857142857143	0
Q9UKB1	0	0.8126520681265207	0
Q9Y6Y0	0	0.9101123595505618	0
Q9UKA9	0	0.9166666666666666	0
Q9Y676	0	0.8679245283018868	0
Q9C0C9	0	0.7264150943396226	0
Q9H492	0	0.8638392857142857	0
Q9HCE1	0	0.6913946587537092	0
Q9GZS1	0	0.8958333333333334	0
Q9NQC7	0	0.8146341463414634	0
O43715	0	0.7142857142857143	0
O95817	0	0.7076271186440678	0
P34932	0	0.9070422535211268	0
Q96EP5	0	0.8351648351648352	0
O75208	0	0.5666666666666667	0
Q96N28	0	1.0	0
P0DMV8	0	0.8853868194842407	0
Q15365	0	0.8772727272727273	0
Q9UMX0	0	0.6514522821576764	0
Q8TEW6	0	0.8636363636363636	0
Q00613	0	0.8307692307692308	0
P10415	0	0.8217054263565892	0
P00558	0	0.918918918918919	0
P04792	0	0.7878103837471784	0
Q9UBV8	0	0.9393939393939394	0
Q8IZQ1	0	0.921875	0
Q9H061	0	0.9130434782608695	0
Q13501	0	0.8312883435582822	0
Q9H4A3	0	0.7877094972067039	0
P61086	0	0.88	0
P18827	0	0.6451612903225806	0
Q8WWF6	0	1.0	0
P48556	0	0.8969072164948454	0
Q99832	0	0.9625468164794008	0
Q9NTK5	0	0.9508196721311475	0
P50502	0	0.84375	0
Q8WXB1	0	1.0	0
Q9NR45	0	0.8461538461538461	0
Q06787	0	0.921875	0
Q15653	0	0.8804347826086957	0
Q03013	0	0.7333333333333333	0
Q9BV57	0	0.5789473684210527	0
P09132	0	0.96	0
P61289	0	0.8645833333333334	0
Q5U651	0	0.9444444444444444	0
Q14240	0	0.8414634146341463	0
P25398	0	0.9312977099236641	0
Q8WUD1	0	0.7777777777777778	0
P17706	0	0.8157894736842105	0
Q14562	0	0.9113924050632911	0
Q06323	0	0.8375	0
Q13363	0	0.7837837837837838	0
O95831	0	0.8478260869565217	0
P20618	0	0.8827586206896552	0
Q8WUM4	0	0.8615384615384616	0
Q9BQC3	0	0.7619047619047619	0
P11940	0	0.8842105263157894	0
Q9UL33	0	0.6285714285714286	0
P52434	0	0.8260869565217391	0
P47756	0	0.8809523809523809	0
P12830	0	0.739067055393586	0
Q9NYF8	0	0.9009009009009009	0
P62191	0	0.8774193548387097	0
P00441	0	0.8187311178247734	0
Q9UBT2	0	0.9139784946236559	0
Q6PJW8	0	0.5384615384615384	0
Q99614	0	0.8	0
Q15691	0	0.8628571428571429	0
P63104	0	0.9223684210526316	0
Q9Y6R4	0	0.8275862068965517	0
P27816	0	0.9753086419753086	0
P62942	0	0.8115942028985508	0
P62993	0	0.7096474953617811	0
Q15759	0	0.7755102040816326	0
P50395	0	0.863013698630137	0
P49321	0	0.7741935483870968	0
P63208	0	0.8661417322834646	0
Q5TB80	0	0.8455882352941176	0
Q03933	0	0.75	0
P0DPD6	0	0.6875	0
P28070	0	0.8942307692307693	0
P21266	0	0.7419354838709677	0
P15311	0	0.8011049723756906	0
Q15678	0	0.7849462365591398	0
